City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dalai,45.5,124.3,14.95,82,75,2.42,CN,1695029689
1,saipan,15.1355,145.701,28.39,83,40,5.66,MP,1695029690
2,waitangi,-43.9535,-176.5597,11.01,79,11,5.81,NZ,1695029690
3,kavieng,-2.5744,150.7967,26.96,75,100,1.72,PG,1695029690
4,port-aux-francais,-49.35,70.2167,4.68,88,78,9.9,TF,1695029691
5,tiksi,71.6872,128.8694,-0.07,87,99,6.22,RU,1695029692
6,xining,36.6167,101.7667,18.85,52,80,6.86,CN,1695029692
7,callao,-12.0667,-77.15,18.73,82,100,5.14,PE,1695029634
8,fort bragg,35.139,-79.006,18.75,97,40,2.57,US,1695029693
9,teknaf,20.8624,92.3058,26.82,90,100,6.68,BD,1695029694
10,martuk,50.7475,56.5056,20.21,40,30,1.39,KZ,1695029695
11,constantia,44.1833,28.65,24.38,52,0,7.48,RO,1695029695
12,vorgashor,67.5833,63.95,6.45,61,100,4.62,RU,1695029696
13,tolanaro,-25.0319,46.9987,27.04,69,20,9.26,MG,1695029696
14,margaret river,-33.95,115.0667,14.81,80,99,7.26,AU,1695029590
15,chibougamau,49.9168,-74.3659,10.79,87,100,2.57,CA,1695029697
16,fenoarivo be,-18.4333,46.5667,30.1,20,0,2.29,MG,1695029697
17,dunedin,-45.8742,170.5036,12.67,40,19,4.02,NZ,1695029659
18,albany,42.6001,-73.9662,15.36,94,100,1.36,US,1695029698
19,carutapera,-1.195,-46.02,26.2,79,49,3.02,BR,1695029698
20,adamstown,-25.066,-130.1015,18.23,63,100,3.08,PN,1695029699
21,severnoye,56.3491,78.3619,16.59,68,100,1.35,RU,1695029699
22,anadyr,64.75,177.4833,4.28,80,75,2.0,RU,1695029700
23,grytviken,-54.2811,-36.5092,-3.68,87,57,6.71,GS,1695029700
24,lebu,-37.6167,-73.65,5.48,79,2,5.23,CL,1695029701
25,eyl,7.9803,49.8164,34.7,41,39,9.51,SO,1695029701
26,blackmans bay,-43.0167,147.3167,12.07,68,88,1.91,AU,1695029702
27,new martinsville,39.6445,-80.8576,13.71,99,32,0.45,US,1695029702
28,pacific grove,36.6177,-121.9166,14.25,90,0,1.34,US,1695029703
29,ciudad bolivar,8.1222,-63.5497,24.4,90,64,3.14,VE,1695029442
30,fairbanks,64.8378,-147.7164,5.98,92,100,3.6,US,1695029676
31,oak hill,37.9723,-81.1487,13.57,79,52,1.07,US,1695029704
32,bahia honda,22.9036,-83.1592,25.79,85,82,0.25,CU,1695029704
33,vila franca do campo,37.7167,-25.4333,22.16,99,65,1.84,PT,1695029705
34,invercargill,-46.4,168.35,8.34,78,8,4.47,NZ,1695029493
35,sinjai,-5.1241,120.253,26.02,73,4,3.38,ID,1695029705
36,fort st. john,56.2499,-120.8529,10.94,58,100,6.69,CA,1695029706
37,asau,46.4333,26.4,21.51,37,0,2.96,RO,1695029706
38,pustoshka,56.3355,29.369,18.57,65,77,1.98,RU,1695029707
39,hamilton,39.1834,-84.5333,14.29,92,20,2.57,US,1695029550
40,baikunthpur,23.25,82.55,29.72,65,46,2.6,IN,1695029707
41,akureyri,65.6835,-18.0878,7.96,93,100,3.09,IS,1695029708
42,samsun,41.25,36.3333,24.67,100,40,5.14,TR,1695029708
43,ilulissat,69.2167,-51.1,0.01,86,75,0.51,GL,1695029709
44,avarua,-21.2078,-159.775,21.03,64,75,1.54,CK,1695029709
45,bethel,41.3712,-73.414,18.27,89,100,0.0,US,1695029709
46,aykhal,66.0,111.5,-1.13,86,61,2.56,RU,1695029710
47,thompson,55.7435,-97.8558,11.09,100,0,1.54,CA,1695029710
48,longyearbyen,78.2186,15.6401,-2.09,64,20,3.6,SJ,1695029711
49,carnarvon,-24.8667,113.6333,20.13,67,62,10.71,AU,1695029711
50,hermanus,-34.4187,19.2345,16.56,69,44,7.04,ZA,1695029576
51,la ronge,55.1001,-105.2842,13.14,76,0,2.06,CA,1695029712
52,timaru,-44.4,171.25,11.71,26,43,1.79,NZ,1695029686
53,filey,54.21,-0.2892,16.83,91,100,2.68,GB,1695029712
54,vernon,50.2581,-119.2691,19.34,55,80,0.51,CA,1695029713
55,kone,-21.0595,164.8658,20.07,90,13,2.29,NC,1695029713
56,prince george,53.9166,-122.753,8.69,72,75,4.63,CA,1695029708
57,punta arenas,-53.15,-70.9167,2.06,60,100,5.14,CL,1695029714
58,iqaluit,63.7506,-68.5145,-0.15,74,75,2.57,CA,1695029714
59,arauca,7.0847,-70.7591,22.28,97,94,1.33,CO,1695029526
60,puerto baquerizo moreno,-0.9,-89.6,22.7,88,75,3.61,EC,1695029715
61,okha,53.5739,142.9478,10.39,71,100,9.24,RU,1695029716
62,nova sintra,14.8667,-24.7167,22.9,71,96,5.63,CV,1695029716
63,yellowknife,62.456,-114.3525,10.79,92,75,3.6,CA,1695029385
64,oltinko'l,40.8011,72.1634,32.96,15,0,3.5,UZ,1695029717
65,camiri,-20.05,-63.5167,19.5,68,1,1.36,BO,1695029717
66,stanley,54.868,-1.6985,15.4,90,40,3.6,GB,1695029655
67,mangaratiba,-22.9597,-44.0406,23.48,70,0,2.78,BR,1695029718
68,talnakh,69.4865,88.3972,7.34,94,100,6.0,RU,1695029719
69,isafjordur,66.0755,-23.124,7.02,87,100,1.03,IS,1695029719
70,utrik,11.2278,169.8474,27.69,80,100,4.28,MH,1695029719
71,daru,-9.0763,143.2092,23.87,81,66,4.7,PG,1695029720
72,cabedelo,-6.9811,-34.8339,22.37,83,99,7.7,BR,1695029720
73,trairi,-3.2778,-39.2689,26.07,65,22,5.49,BR,1695029688
74,whitehorse,60.7161,-135.0538,7.12,82,40,2.06,CA,1695029588
75,bilibino,68.0546,166.4372,2.19,89,100,1.28,RU,1695029722
76,tazovsky,67.4667,78.7,3.23,95,100,10.66,RU,1695029722
77,nemuro,43.3236,145.575,17.02,99,97,3.18,JP,1695029722
78,ribeira grande,38.5167,-28.7,21.54,68,20,1.54,PT,1695029612
79,lompoc,34.6391,-120.4579,17.1,85,100,4.47,US,1695029723
80,afaahiti,-17.75,-149.2833,21.93,81,25,1.9,PF,1695029723
81,tromso,69.6496,18.957,9.01,81,75,7.2,NO,1695029724
82,ust-nera,64.5667,143.2,3.73,72,100,1.0,RU,1695029724
83,puerto ayora,-0.7393,-90.3518,23.64,95,56,0.45,EC,1695029725
84,smithers,54.7804,-127.1743,7.18,81,100,1.03,CA,1695029709
85,kodiak,57.79,-152.4072,7.73,71,75,1.54,US,1695029725
86,acarau,-2.8856,-40.12,26.38,72,27,7.04,BR,1695029726
87,hilo,19.7297,-155.09,24.6,99,100,3.09,US,1695029726
88,kabansk,52.0486,106.6528,13.99,72,67,2.83,RU,1695029618
89,wailua homesteads,22.0669,-159.378,25.44,82,100,7.72,US,1695029459
90,port blair,11.6667,92.75,28.02,83,100,5.14,IN,1695029727
91,okakarara,-20.5833,17.4333,32.03,8,1,4.75,NA,1695029727
92,sokcho,38.2083,128.5911,25.34,83,75,2.57,KR,1695029728
93,sao felix do xingu,-6.6447,-51.995,22.61,66,3,0.13,BR,1695029728
94,hithadhoo,-0.6,73.0833,27.64,79,88,5.88,MV,1695029729
95,nova vicosa,-17.8919,-39.3719,23.78,76,99,5.1,BR,1695029729
96,hawaiian paradise park,19.5933,-154.9731,24.46,97,100,3.09,US,1695029729
97,magadan,59.5667,150.8,3.63,65,1,2.13,RU,1695029730
98,klichaw,53.4928,29.3352,23.94,45,8,3.56,BY,1695029730
99,ola,59.5833,151.2833,3.97,61,1,3.15,RU,1695029731
100,port saint john's,-31.6229,29.5448,23.72,49,0,5.26,ZA,1695029731
101,olonkinbyen,70.9221,-8.7187,3.53,72,88,9.39,SJ,1695029731
102,bredasdorp,-34.5322,20.0403,18.69,49,7,7.7,ZA,1695029660
103,kavaratti,10.5669,72.642,28.42,74,83,5.83,IN,1695029732
104,minas de marcona,-15.2119,-75.1103,12.98,90,11,4.11,PE,1695029732
105,calbuco,-41.768,-73.1273,-0.44,84,13,2.89,CL,1695029733
106,tangalle,6.024,80.7911,25.09,69,76,6.08,LK,1695029733
107,ulladulla,-35.35,150.4667,17.65,45,2,2.94,AU,1695029734
108,port hedland,-20.3167,118.5667,27.03,74,82,6.17,AU,1695029734
109,namibe,-15.1961,12.1522,23.46,70,64,3.91,AO,1695029734
110,selfoss,63.9331,-20.9971,8.36,70,76,4.49,IS,1695029735
111,cockburn town,21.4612,-71.1419,28.32,76,75,5.89,TC,1695029657
112,bubaque,11.2833,-15.8333,27.08,81,90,3.53,GW,1695029736
113,edinburgh of the seven seas,-37.0676,-12.3116,13.82,88,93,15.81,SH,1695029736
114,erenhot,43.6475,111.9767,16.7,37,99,5.95,CN,1695029736
115,antsiranana,-12.2787,49.2917,31.42,35,20,6.17,MG,1695029737
116,viransehir,37.2353,39.7631,34.07,12,0,3.37,TR,1695029737
117,enriquillo,17.9,-71.2333,26.17,87,100,4.28,DO,1695029738
118,myeik,12.4333,98.6,27.86,79,99,1.99,MM,1695029738
119,puerto natales,-51.7236,-72.4875,-2.97,89,15,1.46,CL,1695029541
120,miguel alves,-4.1656,-42.8953,23.32,87,41,0.84,BR,1695029739
121,ushuaia,-54.8,-68.3,0.81,64,100,7.2,AR,1695029739
122,sitka,57.0531,-135.33,12.94,88,100,8.75,US,1695029598
123,temiskaming shores,47.4938,-79.7153,7.89,92,100,3.17,CA,1695029596
124,nar'yan-mar,67.6713,53.087,7.84,95,100,6.11,RU,1695029740
125,noumea,-22.2763,166.4572,22.22,99,81,5.46,NC,1695029709
126,beau vallon,-20.4189,57.6953,26.23,69,40,6.17,MU,1695029741
127,laminusa,5.5549,120.9136,27.74,75,98,2.64,PH,1695029742
128,yuanlin,30.4151,112.8859,31.59,66,89,1.31,CN,1695029742
129,zakynthos,37.7914,20.8953,29.68,54,0,5.14,GR,1695029743
130,weno,7.4515,151.8468,25.97,89,100,2.57,FM,1695029743
131,port elizabeth,-33.918,25.5701,20.61,55,0,2.57,ZA,1695029744
132,cafayate,-26.073,-65.9761,13.97,67,4,1.36,AR,1695029744
133,kingston,17.997,-76.7936,25.13,94,85,0.45,JM,1695029618
134,santa ana,33.7456,-117.8678,21.38,81,100,2.57,US,1695029567
135,vorkuta,67.5,64.0,6.71,61,100,4.5,RU,1695029745
136,cold lake,54.4502,-110.2017,5.97,100,20,2.06,CA,1695029735
137,ancud,-41.8697,-73.8203,2.31,85,62,1.61,CL,1695029746
138,ocumare del tuy,10.1165,-66.7761,21.84,98,99,0.76,VE,1695029747
139,udachny,66.4167,112.4,3.03,59,46,3.09,RU,1695029747
140,berdigestyakh,62.0989,126.6992,0.63,88,100,4.74,RU,1695029747
141,mejit,10.2753,170.8646,27.66,79,100,3.27,MH,1695029748
142,coronel suarez,-37.4547,-61.9334,3.21,54,30,2.45,AR,1695029748
143,suwayr,30.1171,40.3893,34.52,12,0,2.79,SA,1695029749
144,galliano,29.4422,-90.2992,24.0,78,0,2.06,US,1695029535
145,berezovyy,51.6667,135.7,12.37,81,100,1.1,RU,1695029749
146,holualoa,19.6228,-155.9522,22.5,92,92,2.01,US,1695029750
147,estacion santa engracia,24.0159,-99.2015,24.26,73,12,0.63,MX,1695029750
148,chonchi,-42.6128,-73.8092,1.18,95,51,0.77,CL,1695029750
149,malvan,16.0667,73.4667,27.59,83,84,6.23,IN,1695029751
150,oranjemund,-28.55,16.4333,17.29,61,0,7.61,NA,1695029751
151,boguchany,58.3814,97.4531,18.23,63,27,1.55,RU,1695029752
152,medicine hat,50.0501,-110.6683,15.24,41,0,3.6,CA,1695029752
153,newman,37.3138,-121.0208,17.38,81,1,0.45,US,1695029752
154,altay,47.8667,88.1167,18.24,37,6,3.05,CN,1695029753
155,conception bay south,47.4999,-52.9981,17.63,88,91,9.14,CA,1695029489
156,hovd,48.0056,91.6419,14.58,38,60,3.24,MN,1695029754
157,fort mcmurray,56.7268,-111.381,7.73,81,0,1.03,CA,1695029517
158,juegang,32.3174,121.1855,28.28,90,86,4.48,CN,1695029754
159,sinabang,2.4803,96.3801,28.35,76,96,3.0,ID,1695029755
160,zhangzhou,24.5133,117.6556,31.96,86,50,1.5,CN,1695029755
161,cruzeiro do sul,-29.5128,-51.9853,19.86,88,4,2.19,BR,1695029756
162,papatowai,-46.5619,169.4708,8.74,65,25,7.57,NZ,1695029756
163,vilyuchinsk,52.9306,158.4028,11.15,81,6,4.33,RU,1695029756
164,isangel,-19.55,169.2667,22.81,91,83,6.04,VU,1695029757
165,georgetown,5.4112,100.3354,31.97,66,20,5.14,MY,1695029662
166,iskateley,67.6803,53.1512,7.75,95,100,6.19,RU,1695029758
167,trevelin,-43.0858,-71.4639,-0.29,93,51,1.4,AR,1695029758
168,enewetak,11.3474,162.3373,26.99,87,100,9.09,MH,1695029758
169,peskovka,59.0448,52.3606,15.54,47,100,5.32,RU,1695029759
170,onguday,50.75,86.15,17.48,46,46,1.14,RU,1695029759
171,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,54,0,7.0,RU,1695029760
172,shahdad kot,27.8477,67.9055,42.13,24,5,3.16,PK,1695029760
173,qaqortoq,60.7167,-46.0333,2.44,49,0,3.44,GL,1695029760
174,westport,41.1415,-73.3579,20.1,90,100,2.57,US,1695029761
175,agat village,13.3886,144.6585,28.53,87,0,1.54,GU,1695029761
176,curillo,1.0333,-75.9191,21.28,90,99,0.46,CO,1695029761
177,svetlogorsk,52.6333,29.7333,24.67,33,7,4.26,BY,1695029762
178,hadibu,12.65,54.0333,29.67,61,92,9.71,YE,1695029762
179,sen monorom,12.45,107.2,23.58,97,100,0.37,KH,1695029763
180,hluti,-27.2167,31.6167,16.5,80,100,2.71,SZ,1695029764
181,oroqen zizhiqi,50.5667,123.7167,9.55,94,99,1.61,CN,1695029764
182,souillac,-20.5167,57.5167,26.21,69,40,6.17,MU,1695029765
183,primero de mayo,-32.2552,-58.4228,11.95,92,100,8.59,AR,1695029765
184,porto novo,6.4965,2.6036,27.9,72,97,2.58,BJ,1695029766
185,howrah,22.5892,88.3103,31.0,79,40,2.57,IN,1695029766
186,sisimiut,66.9395,-53.6735,1.36,70,46,3.81,GL,1695029767
187,vilyuysk,63.7553,121.6247,1.28,72,100,3.31,RU,1695029767
188,mormugao,15.4,73.8,29.59,74,100,5.14,IN,1695029767
189,jasper,37.2001,-94.3502,14.03,73,0,2.06,US,1695029686
190,bamboo flat,11.7,92.7167,28.05,83,100,5.14,IN,1695029768
191,jackson,42.4165,-122.8345,18.91,51,0,0.0,US,1695029757
192,east london,-33.0153,27.9116,21.52,46,0,2.57,ZA,1695029769
193,port lincoln,-34.7333,135.8667,13.4,82,91,3.12,AU,1695029769
194,tuban,-6.8976,112.0649,28.92,66,56,3.94,ID,1695029770
195,sarakhs,36.5449,61.1577,29.59,13,0,4.01,IR,1695029770
196,san patricio,28.017,-97.5169,26.58,69,2,1.77,US,1695029770
197,morehead city,34.7229,-76.726,24.0,89,75,2.57,US,1695029771
198,taldykorgan,45.0156,78.3739,23.01,28,100,4.24,KZ,1695029772
199,west island,-12.1568,96.8225,26.99,69,75,7.2,CC,1695029773
200,troitsko-pechorsk,62.7084,56.1964,10.45,86,100,5.16,RU,1695029773
201,villa regina,-39.1,-67.0667,2.77,25,5,2.87,AR,1695029773
202,polyarnyy,69.1989,33.4478,8.51,61,30,6.86,RU,1695029774
203,atafu village,-8.5421,-172.5159,28.93,77,5,8.31,TK,1695029774
204,cabo san lucas,22.8909,-109.9124,28.75,79,7,1.34,MX,1695029188
205,bikenibeu village,1.3673,173.1241,28.98,79,75,2.06,KI,1695029775
206,nova olimpia,-14.7972,-57.2881,26.27,56,24,1.28,BR,1695029775
207,naze,28.3667,129.4833,27.51,81,35,2.17,JP,1695029776
208,portel,-1.9356,-50.8211,23.39,92,12,1.44,BR,1695029777
209,kruisfontein,-34.0033,24.7314,19.38,45,0,4.21,ZA,1695029777
210,badger,64.8,-147.5333,5.93,93,100,3.6,US,1695029778
211,revda,56.801,59.9303,17.71,58,87,2.52,RU,1695029778
212,road town,18.4167,-64.6167,28.05,71,25,4.18,VG,1695029778
213,jamestown,42.097,-79.2353,13.77,99,75,2.57,US,1695029779
214,nantucket,41.2835,-70.0995,20.57,94,20,4.63,US,1695029694
215,molochnoye,59.2917,39.6787,12.64,63,95,5.71,RU,1695029780
216,ratoath,53.5081,-6.4625,13.38,78,20,8.23,IE,1695029780
217,san andres,12.5847,-81.7006,29.01,84,40,5.14,CO,1695029780
218,island harbour,50.724,-1.2758,18.29,93,50,4.02,GB,1695029781
219,crane,31.3974,-102.3501,22.49,56,45,3.85,US,1695029781
220,pisco,-13.7,-76.2167,16.68,88,1,1.03,PE,1695029782
221,huarmey,-10.0681,-78.1522,18.77,90,30,3.66,PE,1695029782
222,flin flon,54.7682,-101.865,12.57,70,71,3.65,CA,1695029782
223,haiku-pauwela,20.9219,-156.3051,24.47,86,75,7.72,US,1695029601
224,kiunga,-6.1219,141.2906,24.72,77,93,1.33,PG,1695029783
225,nieuw amsterdam,5.8833,-55.0833,26.12,88,20,0.0,SR,1695029783
226,cooper's town,26.8667,-77.5167,28.91,73,19,6.71,BS,1695029784
227,new norfolk,-42.7826,147.0587,12.72,77,94,1.36,AU,1695029785
228,canete,-37.8,-73.4,2.08,90,2,1.67,CL,1695029785
229,okhotsk,59.3833,143.3,6.97,74,57,3.17,RU,1695029786
230,touros,-5.1989,-35.4608,25.64,77,63,6.87,BR,1695029786
231,nagyatad,46.2296,17.3579,28.84,38,70,4.93,HU,1695029787
232,keetmanshoop,-26.5833,18.1333,23.51,15,0,1.54,NA,1695029787
233,belyy yar,53.6039,91.3903,20.94,49,0,2.0,RU,1695029788
234,nuku'alofa,-21.1333,-175.2,22.19,88,75,6.69,TO,1695029788
235,pilar,-9.5972,-35.9567,22.96,85,77,3.55,BR,1695029499
236,aasiaat,68.7098,-52.8699,-2.55,94,98,3.98,GL,1695029789
237,talcahuano,-36.7167,-73.1167,3.82,93,0,3.6,CL,1695029534
238,port augusta,-32.5,137.7667,16.51,67,1,7.09,AU,1695029790
239,pacasmayo,-7.4006,-79.5714,18.0,93,33,3.41,PE,1695029790
240,patos,-7.0244,-37.28,24.85,63,23,7.21,BR,1695029750
241,tsiombe,-25.3,45.4833,24.11,65,100,4.64,MG,1695029791
242,keflavik,64.0049,-22.5624,8.24,81,0,3.6,IS,1695029792
243,punta cana,18.5818,-68.4043,26.87,83,20,2.06,DO,1695029508
244,tocopilla,-22.092,-70.1979,16.72,73,21,1.81,CL,1695029714
245,tianshui,34.5439,105.6897,21.66,70,100,3.5,CN,1695029793
246,lalibela,12.0333,39.0333,23.2,39,100,1.88,ET,1695029793
247,garoowe,8.4054,48.4845,35.83,27,72,8.71,SO,1695029793
248,bangor,54.6534,-5.669,13.94,75,20,4.12,GB,1695029794
249,songling,31.1933,120.7176,26.88,83,55,3.05,CN,1695029794
250,monrovia,6.3005,-10.7969,25.87,91,100,3.48,LR,1695029795
251,kapa'a,22.0752,-159.319,26.18,81,100,7.72,US,1695029795
252,kermit,31.8576,-103.0927,21.91,60,0,3.09,US,1695029309
253,nema,57.5067,50.5011,17.57,40,100,5.52,RU,1695029796
254,mount isa,-20.7333,139.5,23.87,27,0,1.54,AU,1695029796
255,sucua,-2.4667,-78.1667,19.5,71,54,1.75,EC,1695029797
256,klyuchi,52.2667,79.1667,20.24,49,75,2.73,RU,1695029797
257,yeniseysk,58.4497,92.1703,18.86,55,45,1.34,RU,1695029798
258,olyokminsk,60.3736,120.4264,1.84,74,100,3.73,RU,1695029798
259,wad medani,14.4012,33.5199,34.09,31,100,4.98,SD,1695029798
260,tazacorte,28.629,-17.9293,23.54,67,40,5.66,ES,1695029799
261,russellville,35.2784,-93.1338,13.43,92,20,0.0,US,1695029799
262,lata,40.1629,-8.3327,22.26,68,36,0.54,PT,1695029800
263,mawlaik,23.6333,94.4167,25.24,98,99,0.5,MM,1695029800
264,barra de santo antonio,-9.4047,-35.5072,23.6,78,57,4.39,BR,1695029801
265,nianzishan,47.5167,122.8833,13.37,94,100,5.57,CN,1695029801
266,merizo village,13.2658,144.6691,28.32,91,100,3.91,GU,1695029802
267,laguna,38.421,-121.4238,17.99,83,0,3.09,US,1695029802
268,hammerfest,70.6634,23.6821,8.25,81,75,5.14,NO,1695029802
269,alamosa,37.4695,-105.87,5.99,81,0,2.06,US,1695029542
270,magistral'nyy,56.1725,107.4458,11.41,54,21,3.29,RU,1695029803
271,bosaso,11.2842,49.1816,36.99,53,0,4.63,SO,1695029804
272,gazojak,41.1875,61.4036,27.49,16,8,1.82,TM,1695029804
273,leava,-14.3,-178.1667,27.36,81,13,10.39,WF,1695029804
274,robore,-18.3333,-59.75,24.84,50,1,2.18,BO,1695029805
275,laghouat,33.8,2.8651,31.03,15,80,4.88,DZ,1695029805
276,ploneour-lanvern,47.9,-4.2833,18.16,88,100,4.12,FR,1695029805
277,hasaki,35.7333,140.8333,30.16,85,0,6.76,JP,1695029806
278,uturoa,-16.7333,-151.4333,25.68,79,38,3.2,PF,1695029807
279,queenstown,-31.8976,26.8753,24.09,11,0,6.68,ZA,1695029807
280,awjilah,29.1081,21.2869,31.44,28,0,5.43,LY,1695029807
281,east ballina,-28.8667,153.5833,16.56,73,0,6.63,AU,1695029808
282,ramban,33.25,75.25,20.34,84,63,2.27,IN,1695029808
283,dwarka,22.2394,68.9678,28.84,79,100,6.08,IN,1695029809
284,colonia,50.9333,6.95,22.2,72,0,5.66,DE,1695029609
285,wenzhou,27.9994,120.6668,27.48,80,70,1.74,CN,1695029519
286,marsh harbour,26.5412,-77.0636,28.33,73,0,4.82,BS,1695029810
287,krasnyy yar,46.5331,48.3456,21.96,35,55,4.83,RU,1695029810
288,petauke,-14.2426,31.3253,32.45,15,6,4.32,ZM,1695029811
